,Make_Honda,Make_Maruti Suzuki,Make_Hyundai,Make_Toyota,Make_BMW,Make_Skoda,Make_Nissan,Make_Renault,Make_Tata,Make_Volkswagen,Make_Ford,Make_Mercedes-Benz,Make_Audi,Make_Mahindra,Make_MG,Make_Jeep,Make_Kia,Make_Volvo,Make_Porsche,Make_Isuzu,Make_Jaguar,Make_Land Rover,Make_MINI,Make_Mitsubishi,Make_Datsun,Make_Chevrolet,Make_Ssangyong,Make_Fiat,Make_Lexus,Model,Price,Year,Kilometer,Fuel Type_Petrol,Fuel Type_Diesel,Fuel Type_CNG,Fuel Type_CNG + CNG,Fuel Type_LPG,Fuel Type_Petrol + CNG,Transmission_Manual,Transmission_Automatic,Location,Color,Owner_First,Owner_Second,Owner_Third,Owner_UnRegistered Car,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz Delta 1.3 Hybrid,0.13945836497089345,0.8529411764705882,0.04296411115416828,0,1,0,0,0,0,1,0,Yamunanagar,Brown,0,1,0,0,Individual,1248 cc,FWD,0.6460752438457965,0.3601694915254237,0.2693409742120344,0.5,0.32941176470588235
308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tucson GL 2WD AT Petrol,0.39129334345735256,0.8529411764705882,0.04296411115416828,1,0,0,0,0,0,0,1,Bangalore,Blue,1,0,0,0,Individual,1999 cc,FWD,0.6391082210868555,0.5296610169491526,0.5200573065902578,0.5,0.5529411764705883
310,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i20 Sportz 1.2,0.08251075677043786,0.7352941176470589,0.014530544895433579,1,0,0,0,0,0,1,0,Panchkula,White,1,0,0,0,Individual,1197 cc,FWD,0.41616349280074316,0.3319209039548023,0.2979942693409742,0.5,0.35294117647058826
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,V40 D3 Kinetic,0.29131865350544167,0.7941176470588235,0.025445954223283374,0,1,0,0,0,0,0,1,Kolkata,White,1,0,0,0,Corporate,1984 cc,FWD,0.5903390617742684,0.4350282485875706,0.23065902578796563,0.5,0.5294117647058824
312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortuner 3.0 4x2 AT,0.3735763097949886,0.7647058823529411,0.03596384864432416,0,1,0,0,0,0,0,1,Delhi,White,1,0,0,0,Individual,2982 cc,RWD,0.7459359033906178,0.5155367231638418,0.7922636103151862,0.8333333333333334,0.7647058823529411
313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-Class C 200 Avantgarde,0.6646418628195394,0.8235294117647058,0.013963023613385502,1,0,0,0,0,0,0,1,Gurgaon,Silver,1,0,0,0,Individual,1991 cc,RWD,0.7371110078959592,0.4731638418079096,0.20773638968481375,0.5,0.6
314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jazz V AT Petrol,0.12553783852189318,0.7941176470588235,0.020963286123229622,1,0,0,0,0,0,0,1,Delhi,White,1,0,0,0,Individual,1199 cc,FWD,0.39758476544356713,0.3093220338983051,0.3538681948424069,0.5,0.29411764705882354
316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jazz S,0.036952670210073396,0.6470588235294118,0.01596309861619811,1,0,0,0,0,0,1,0,Gurgaon,Silver,1,0,0,0,Individual,1198 cc,FWD,0.3720390153274501,0.3107344632768362,0.34097421203438394,0.5,0.3176470588235294
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Evoque HSE Dynamic,0.6200961781827385,0.7941176470588235,0.025274947810542896,0,1,0,0,0,0,0,1,Kolkata,Gold,0,1,0,0,Individual,2179 cc,AWD,0.6344635392475615,0.6002824858757062,0.48424068767908307,0.5,0.49411764705882355
320,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venue SX 1.5 CRDi,0.2652493039736776,1.0,0.000812530469892621,0,1,0,0,0,0,1,0,Mumbai,White,1,0,0,0,Individual,1493 cc,FWD,0.41616349280074316,0.4166666666666667,0.44126074498567336,0.5,0.35294117647058826
321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polo GT TSI,0.26474310301189574,0.9411764705882353,0.02159330974911559,1,0,0,0,0,0,0,1,Bangalore,Red,1,0,0,0,Individual,1197 cc,FWD,0.4050162563864375,0.2923728813559322,0.24641833810888253,0.5,0.35294117647058826
322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wagon R LXI CNG,0.06985573272589218,0.7941176470588235,0.03383276872882733,0,0,1,0,0,0,1,0,Delhi,White,0,1,0,0,Individual,998 cc,FWD,0.2322340919647004,0.02824858757062147,0.5773638968481375,0.5,0.23529411764705882
323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scorpio S11 4WD 7 STR,0.33561123766135154,0.9117647058823529,0.034463792392214705,0,1,0,0,0,0,1,0,Lucknow,Black,1,0,0,0,Individual,2179 cc,AWD,0.6302833255921969,0.4872881355932203,1.0,0.8333333333333334,0.5294117647058824
325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift VXi,0.17615793470007593,0.9705882352941176,0.007323774641549058,1,0,0,0,0,0,1,0,Bangalore,White,1,0,0,0,Individual,1197 cc,FWD,0.346493265211333,0.3672316384180791,0.333810888252149,0.5,0.25882352941176473
326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.4 VX 7 STR [2016-2020],0.5380916223740825,0.8529411764705882,0.014463042364088654,0,1,0,0,0,0,1,0,Mysore,Bronze,1,0,0,0,Individual,2393 cc,RWD,0.7598699489084998,0.501412429378531,0.7134670487106017,0.8333333333333334,0.47058823529411764
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Compass Limited (O) 1.4 Petrol AT [2017-2020],0.30397367754998733,0.8529411764705882,0.030063627386026977,1,0,0,0,0,0,0,1,Thane,White,1,0,0,0,Corporate,1368 cc,FWD,0.6019507663725034,0.4844632768361582,0.49140401146131807,0.5,0.5294117647058824
328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift VDi,0.11414831688180208,0.8529411764705882,0.06996512369213846,0,1,0,0,0,0,1,0,Warangal,Grey,1,0,0,0,Individual,1248 cc,FWD,0.34881560613098,0.3107344632768362,0.333810888252149,0.5,0.3176470588235294
329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR-V S MT Petrol,0.14578587699316628,0.8529411764705882,0.01186194482293086,1,0,0,0,0,0,1,0,Ahmedabad,Brown,1,0,0,0,Individual,1199 cc,FWD,0.41802136553646074,0.365819209039548,0.4355300859598854,0.5,0.29411764705882354
330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City 1.5 S MT,0.05087319665907365,0.6764705882352942,0.02746352988237059,1,0,0,0,0,0,1,0,Kolkata,Silver,1,0,0,0,Individual,1497 cc,FWD,0.6135624709707385,0.3107344632768362,0.2621776504297994,0.5,0.3176470588235294
331,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vento TSI,0.15211338901543914,0.8529411764705882,0.025463454879557982,1,0,0,0,0,0,0,1,Rohtak,White,1,0,0,0,Individual,1197 cc,FWD,0.5968416163492801,0.3163841807909605,0.24212034383954154,0.5,0.47058823529411764
332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brio S MT,0.06605922551252848,0.7647058823529411,0.02446341737815168,1,0,0,0,0,0,1,0,Delhi,Brown,0,1,0,0,Individual,1198 cc,FWD,0.23734324198792384,0.2895480225988701,0.29083094555873923,0.5,0.23529411764705882
333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duster RXL Petrol,0.13945836497089345,0.8529411764705882,0.02396339862744853,1,0,0,0,0,0,1,0,Mumbai,Black,1,0,0,0,Individual,1498 cc,FWD,0.5647933116581514,0.4901129943502825,0.5702005730659025,0.5,0.4117647058823529
335,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fiesta Style Diesel [2011-2014],0.06226271829916477,0.7352941176470589,0.036963886145730464,0,1,0,0,0,0,1,0,Hyderabad,Maroon,1,0,0,0,Individual,1498 cc,FWD,0.5536460752438458,0.3488700564971751,0.2851002865329513,0.5,0.32941176470588235
336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XUV500 W8,0.11035155656795748,0.7058823529411765,0.0509644111654187,0,1,0,0,0,0,1,0,Mumbai,Grey,0,1,0,0,Individual,2179 cc,FWD,0.6901997213190897,0.5861581920903954,0.6991404011461319,0.8333333333333334,0.6470588235294118
339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Safari 2.2 EX 4x2,0.08251075677043786,0.7352941176470589,0.04846431741190295,0,1,0,0,0,0,1,0,Ambala Cantt,Black,1,0,0,0,Individual,2179 cc,RWD,0.7227124941941477,0.692090395480226,0.8954154727793696,0.8333333333333334,0.47058823529411764
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seltos GTX Plus AT 1.4 [2019-2020],0.39888635788408,0.9705882352941176,0.007962798604947686,1,0,0,0,0,0,0,1,Kolkata,Red,1,0,0,0,Individual,1353 cc,FWD,0.5647933116581514,0.4590395480225989,0.498567335243553,0.5,0.4117647058823529
343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecosport Trend 1.5 TDCi,0.1090863072639838,0.7647058823529411,0.05746465492455967,0,1,0,0,0,0,1,0,Pune,White,1,0,0,0,Individual,1498 cc,FWD,0.41802136553646074,0.4096045197740113,0.5888252148997135,0.5,0.43529411764705883
344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand i10 NIOS Magna 1.2 Kappa VTVT,0.1369273601619843,0.9411764705882353,0.036963886145730464,1,0,0,0,0,0,1,0,Ahmedabad,White,1,0,0,0,Individual,1197 cc,FWD,0.327914537854157,0.2895480225988701,0.3194842406876791,0.5,0.25882352941176473
345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Sportz 1.4,0.12958744621614782,0.7941176470588235,0.030463642386589496,0,1,0,0,0,0,1,0,Ahmedabad,Silver,1,0,0,0,Individual,1396 cc,FWD,0.41151881096144916,0.365819209039548,0.2979942693409742,0.5,0.35294117647058826
346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corolla Altis 1.8 G,0.17109592508225765,0.7647058823529411,0.052371463929897374,1,0,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,Individual,1798 cc,FWD,0.6692986530422667,0.4025423728813559,0.2621776504297994,0.5,0.47058823529411764
347,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elantra 1.8 SX MT,0.15084788661098456,0.7352941176470589,0.008462817355650836,1,0,0,0,0,0,1,0,Pune,White,1,0,0,0,Individual,1797 cc,FWD,0.6646539712029726,0.423728813559322,0.24785100286532952,0.5,0.4823529411764706
348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Q3 35 TDI Premium + Sunroof,0.41660339154644394,0.7941176470588235,0.029963623635886345,0,1,0,0,0,0,0,1,Delhi,White,0,1,0,0,Individual,1968 cc,AWD,0.5973060845332094,0.5028248587570622,0.4455587392550143,0.5,0.5764705882352941
349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift Lxi (O) [2014-2017],0.10149329283725639,0.8235294117647058,0.022463342375339077,1,0,0,0,0,0,1,0,Delhi,White,1,0,0,0,Individual,1197 cc,FWD,0.34881560613098,0.3107344632768362,0.333810888252149,0.5,0.3176470588235294
350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,XUV500 W10,0.33561123766135154,0.8235294117647058,0.03786942010325387,0,1,0,0,0,0,1,0,Bangalore,Black,1,0,0,0,Individual,2179 cc,FWD,0.6901997213190897,0.5861581920903954,0.6991404011461319,0.8333333333333334,0.6470588235294118
351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thar AX 4-STR Convertible Petrol MT,0.4178688939508985,0.9705882352941176,0.0018690700901283798,1,0,0,0,0,0,1,0,Chennai,Red,1,0,0,0,Individual,1997 cc,AWD,0.41151881096144916,0.4872881355932203,0.7994269340974212,0.3333333333333333,0.49411764705882355
352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift VXi [2014-2017],0.12047582890407492,0.8235294117647058,0.032427716039351476,1,0,0,0,0,0,1,0,Mumbai,Red,1,0,0,0,Individual,1197 cc,FWD,0.34881560613098,0.3107344632768362,0.333810888252149,0.5,0.3176470588235294
353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZire VDi,0.1369273601619843,0.8823529411764706,0.034213783016863134,0,1,0,0,0,0,1,0,Varanasi,Grey,1,0,0,0,Individual,1248 cc,FWD,0.41616349280074316,0.3672316384180791,0.3123209169054441,0.5,0.25882352941176473
354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortuner 3.0 4x2 AT,0.3659832953682612,0.7647058823529411,0.04246409240346513,0,1,0,0,0,0,0,1,Delhi,White,1,0,0,0,Individual,2982 cc,RWD,0.7459359033906178,0.5155367231638418,0.7922636103151862,0.8333333333333334,0.7647058823529411
355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-Series 520d M Sport,0.8228296633763604,0.8529411764705882,0.020611272922734604,0,1,0,0,0,0,0,1,Mumbai,Blue,1,0,0,0,Individual,1995 cc,RWD,0.8360427310729215,0.8742937853107344,0.23925501432664756,0.5,0.5882352941176471
356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amaze 1.5 SX i-DTEC,0.085041761579347,0.7352941176470589,0.03624735927597285,0,1,0,0,0,0,1,0,Samastipur,White,1,0,0,0,Individual,1498 cc,FWD,0.41384115188109616,0.2895480225988701,0.2979942693409742,0.5,0.23529411764705882
357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wagon R VXI+,0.12300683371298406,0.9411764705882353,0.0021100791279672986,1,0,0,0,0,0,1,0,Samastipur,Silver,1,0,0,0,Individual,998 cc,FWD,0.24941941477008825,0.0,0.5343839541547278,0.5,0.23529411764705882
358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitara Brezza ZDi Plus,0.20906099721589472,0.8823529411764706,0.04096403615135567,0,1,0,0,0,0,1,0,Ahmedabad,White,1,0,0,0,Individual,1248 cc,FWD,0.41616349280074316,0.4449152542372881,0.49140401146131807,0.5,0.38823529411764707
359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift DZire LXi,0.06226271829916477,0.6470588235294118,0.01646311736690126,1,0,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,Individual,1298 cc,FWD,0.4928007431490943,0.3036723163841808,0.333810888252149,0.5,0.32941176470588235
361,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta SX 1.6 CRDi (O),0.23310528980005063,0.8823529411764706,0.033963773641511555,0,1,0,0,0,0,1,0,Kanpur,Black,1,0,0,0,Individual,1582 cc,FWD,0.5438922433813284,0.4307909604519774,0.5272206303724928,0.5,0.47058823529411764
362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City ZX CVT Petrol,0.4178688939508985,1.0,0.004227658537195145,1,0,0,0,0,0,0,1,Pune,White,0,0,0,1,Individual,1498 cc,FWD,0.6734788666976312,0.3855932203389831,0.27507163323782235,0.5,0.29411764705882354
363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tucson GLS 2WD AT Petrol,0.44064768413059985,0.8823529411764706,0.022963361126042227,1,0,0,0,0,0,0,1,Delhi,Black,1,0,0,0,Individual,1999 cc,FWD,0.6391082210868555,0.5296610169491526,0.5200573065902578,0.5,0.5529411764705883
364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.7 VX 7 STR [2016-2020],0.48494026828650977,0.9411764705882353,0.0129629861119792,1,0,0,0,0,0,1,0,Delhi,Silver,1,0,0,0,Individual,2694 cc,RWD,0.7598699489084998,0.501412429378531,0.7134670487106017,0.8333333333333334,0.5882352941176471
365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TT 2.0 TFSI Quattro,1.0,0.7647058823529411,0.01966023725889721,1,0,0,0,0,0,0,1,Jaipur,White,0,1,0,0,Individual,1984 cc,AWD,0.5104505341384116,0.518361581920904,0.08022922636103152,0.0,0.5294117647058824
366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tiago Revotron XTA [2017-2019],0.11035155656795748,0.8823529411764706,0.017463154868307563,1,0,0,0,0,0,0,1,Patna,Blue,1,0,0,0,Individual,1199 cc,FWD,0.30051091500232235,0.24293785310734464,0.34097421203438394,0.5,0.23529411764705882
367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift VXi [2014-2017],0.13439635535307518,0.9117647058823529,0.008903333875020313,1,0,0,0,0,0,1,0,Ranchi,Grey,1,0,0,0,Individual,1197 cc,FWD,0.34881560613098,0.3107344632768362,0.333810888252149,0.5,0.3176470588235294
368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City E [2013-2016],0.10149329283725639,0.7647058823529411,0.02416790629648612,1,0,0,0,0,0,1,0,Ranchi,White,0,1,0,0,Individual,1497 cc,FWD,0.6228518346493265,0.3107344632768362,0.2836676217765043,0.5,0.29411764705882354
369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alto 800 Vxi (Airbag),0.0774487471526196,0.9411764705882353,0.019963248621823318,1,0,0,0,0,0,1,0,Deoghar,White,1,0,0,0,Individual,796 cc,FWD,0.13748258244310266,0.0211864406779661,0.25501432664756446,0.5,0.23529411764705882
370,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Q3 35 TDI Premium + Sunroof,0.5887117185522652,0.8529411764705882,0.030785154443291624,0,1,0,0,0,0,0,1,Dehradun,Blue,1,0,0,0,Individual,1968 cc,AWD,0.5973060845332094,0.5028248587570622,0.4455587392550143,0.5,0.5764705882352941
372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nexon XZ Plus Dark Edition,0.2533535813718046,1.0,0.0007125267197519906,1,0,0,0,0,0,1,0,Kolkata,Black,1,0,0,0,Individual,1199 cc,FWD,0.41523455643288437,0.4745762711864407,0.44269340974212035,0.5,0.3411764705882353
373,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecosport Ambiente 1.5L TDCi,0.10022779043280182,0.7647058823529411,0.01945572958985962,0,1,0,0,0,0,1,0,Noida,Silver,1,0,0,0,Individual,1498 cc,FWD,0.4175568973525314,0.4096045197740113,0.501432664756447,0.5,0.43529411764705883
374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jazz SV Petrol,0.1128828144773475,0.7941176470588235,0.025963473630261136,1,0,0,0,0,0,1,0,Noida,Brown,1,0,0,0,Individual,1199 cc,FWD,0.39758476544356713,0.3093220338983051,0.3538681948424069,0.5,0.29411764705882354
375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i10 Sportz 1.2 Kappa2,0.057200708681346496,0.6764705882352942,0.020963286123229622,1,0,0,0,0,0,1,0,Pune,Grey,1,0,0,0,Individual,1197 cc,FWD,0.22573153738968882,0.1694915254237288,0.3624641833810888,0.5,0.23529411764705882
376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amaze 1.2 VX AT i-VTEC,0.1052898000506201,0.7647058823529411,0.014684050651899446,1,0,0,0,0,0,0,1,Mumbai,Silver,1,0,0,0,Individual,1198 cc,FWD,0.41384115188109616,0.2895480225988701,0.2979942693409742,0.5,0.23529411764705882
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Compass Limited (O) 2.0 Diesel [2017-2020],0.2533535813718046,0.8529411764705882,0.03586384489418353,0,1,0,0,0,0,1,0,Lucknow,Black,1,0,0,0,Individual,1956 cc,FWD,0.6019507663725034,0.4844632768361582,0.49140401146131807,0.5,0.5294117647058824
379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,0.16350291065553024,0.9411764705882353,0.008962836106353988,0,0,1,0,0,0,1,0,Ghaziabad,Green,1,0,0,0,Individual,1197 cc,FWD,0.327914537854157,0.2895480225988701,0.3194842406876791,0.5,0.5294117647058824
380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortuner 2.8 4x2 AT [2016-2020],0.8000506200961782,0.8823529411764706,0.018463192369713863,0,1,0,0,0,0,0,1,Delhi,White,1,0,0,0,Individual,2755 cc,RWD,0.7877380399442638,0.536723163841808,0.7707736389684814,0.8333333333333334,0.7647058823529411
381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City 1.5 S MT,0.05568210579600101,0.6176470588235294,0.04246409240346513,1,0,0,0,0,0,1,0,Mohali,White,0,1,0,0,Individual,1497 cc,FWD,0.6135624709707385,0.3107344632768362,0.2621776504297994,0.5,0.3176470588235294
382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xcent E Plus CRDi,0.10022779043280182,0.8823529411764706,0.032741227796042355,0,1,0,0,0,0,1,0,Varanasi,White,0,1,0,0,Individual,1186 cc,FWD,0.41616349280074316,0.2612994350282486,0.3194842406876791,0.5,0.32941176470588235
384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X3 xDrive 20d Luxury Line [2018-2020],0.9493799038218173,0.8823529411764706,0.04346412990487143,0,1,0,0,0,0,0,1,Raipur,Blue,1,0,0,0,Individual,1995 cc,AWD,0.7236414305620065,0.5734463276836158,0.5458452722063037,0.5,0.611764705882353
385,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creta 1.6 SX Plus AT Petrol,0.24069855732725892,0.8823529411764706,0.020963286123229622,1,0,0,0,0,0,0,1,Kolkata,White,1,0,0,0,Individual,1591 cc,FWD,0.5438922433813284,0.4307909604519774,0.47707736389684813,0.5,0.5294117647058824
386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scorpio S11 4WD 7 STR,0.36471779296380663,0.8823529411764706,0.033963773641511555,0,1,0,0,0,0,1,0,Ludhiana,White,0,1,0,0,Individual,2179 cc,AWD,0.6302833255921969,0.4872881355932203,1.0,0.8333333333333334,0.5294117647058824
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Astor Sharp EX 1.5 MT,0.37990382181726146,1.0,0.0002625098441191545,1,0,0,0,0,0,1,0,Kolkata,Orange,1,0,0,0,Individual,1498 cc,FWD,0.5685090571295867,0.4717514124293785,0.505730659025788,0.5,0.38823529411764707
390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Etios Liva VD Dual Tone,0.11035155656795748,0.8529411764705882,0.0429671112666725,0,1,0,0,0,0,1,0,Gurgaon,White,1,0,0,0,Individual,1364 cc,FWD,0.36460752438457966,0.3107344632768362,0.30515759312320917,0.5,0.35294117647058826
391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City SV Diesel,0.09516578081498354,0.7647058823529411,0.037463904896433614,0,1,0,0,0,0,1,0,Kanpur,White,1,0,0,0,Individual,1498 cc,FWD,0.6228518346493265,0.3107344632768362,0.2836676217765043,0.5,0.29411764705882354
392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scorpio S10,0.27866362946089596,0.7647058823529411,0.04946435491330925,0,1,0,0,0,0,1,0,Ludhiana,Silver,1,0,0,0,Individual,2179 cc,RWD,0.6302833255921969,0.4872881355932203,1.0,1.0,0.5294117647058824
393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Superb L&K TSI AT,0.7962541128828144,0.9705882352941176,0.010788404565171194,1,0,0,0,0,0,0,1,Mumbai,Blue,1,0,0,0,Individual,1798 cc,FWD,0.8183929400836043,0.5494350282485876,0.2664756446991404,0.5,0.6
